timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-09-17,10170.0,10170.0,10170.0,10170.0,0.002,1568764799999,20.34,1,0.0,0.0,0
2019-09-18,10170.0,10170.0,10170.0,10170.0,0.0,1568851199999,0.0,0,0.0,0.0,0
2019-09-19,10170.0,10170.0,10170.0,10170.0,0.0,1568937599999,0.0,0,0.0,0.0,0
2019-09-20,10170.0,10170.0,10170.0,10170.0,0.0,1569023999999,0.0,0,0.0,0.0,0
2019-09-21,10170.0,10170.0,10170.0,10170.0,0.0,1569110399999,0.0,0,0.0,0.0,0
2019-09-22,10170.0,10170.0,10170.0,10170.0,0.0,1569196799999,0.0,0,0.0,0.0,0
2019-09-23,10170.0,10170.0,10170.0,10170.0,0.01,1569283199999,101.7,1,0.0,0.0,0
2019-09-24,9676.98,9676.98,7895.02,8570.86,81.193101,1569369599999,713946.7544,1603,45.751375,393216.8769,0
2019-09-25,8548.7,8723.64,8268.59,8439.02,30.195978,1569455999999,255802.586,847,16.485886,139842.0584,0
2019-09-26,8408.92,8452.45,7746.83,8059.86,41.977694,1569542399999,343711.2915,1417,21.733255,178022.6479,0
2019-09-27,8095.78,8273.24,7870.1,8189.2,36.264057,1569628799999,292165.0284,1035,20.477672,165072.7173,0
2019-09-28,8215.75,8346.39,8033.48,8205.15,27.436743,1569715199999,224881.2699,697,15.294444,125199.4004,0
2019-09-29,8205.71,8215.05,7921.99,8053.85,42.16643,1569801599999,339082.7296,961,19.554666,157443.0779,0
2019-09-30,8062.79,8331.92,7739.38,8302.29,71.594413,1569887999999,577096.7333,1560,35.086518,283249.5349,0
2019-10-01,8313.22,8516.0,8197.07,8315.83,64.778208,1569974399999,541756.6818,2069,32.979283,275641.3271,0
2019-10-02,8316.41,8386.35,8177.3,8382.26,36.112589,1570060799999,298212.1598,1264,21.426313,176928.1358,0
2019-10-03,8400.0,8405.99,8083.11,8236.17,51.401324,1570147199999,422332.4449,1736,27.905872,229039.1592,0
2019-10-04,8238.1,8243.13,8018.67,8160.76,62.795099,1570233599999,510883.8074,1507,32.909731,267849.2629,0
2019-10-05,8150.24,8195.25,8030.0,8143.94,29.506823,1570319999999,239375.1239,1191,9.526713,77289.7816,0
2019-10-06,8143.71,8167.68,7810.0,7873.9,77.049997,1570406399999,612328.4261,2219,29.637685,235158.1284,0
2019-10-07,7862.6,8300.0,7776.0,8214.01,93.788344,1570492799999,757670.5442,3433,51.849734,419597.0432,0
2019-10-08,8214.01,8344.03,8116.0,8187.39,70.918149,1570579199999,583868.3544,2466,29.490579,242845.3009,0
2019-10-09,8188.76,8682.77,8119.11,8587.41,90.339166,1570665599999,761609.6083,1847,53.857601,453754.8778,0
2019-10-10,8585.53,8651.0,8451.02,8587.45,72.40448,1570751999999,618850.9161,1707,32.156298,274834.8095,0
2019-10-11,8589.76,8804.57,8231.7,8266.85,87.747759,1570838399999,737764.3784,2148,51.537286,433230.1634,0
2019-10-12,8261.96,8404.94,8261.96,8305.3,27.424194,1570924799999,228588.2237,2017,10.138663,84487.2898,0
2019-10-13,8301.29,8466.68,8189.53,8284.31,46.987452,1571011199999,391688.9242,2589,26.111303,217688.7374,0
2019-10-14,8280.19,8389.82,8222.2,8351.63,77.117592,1571097599999,640828.311,3795,39.671759,329707.8534,0
2019-10-15,8351.63,8404.85,8115.59,8161.87,78.165376,1571183999999,644122.1844,4311,37.038534,305149.2806,0
2019-10-16,8161.87,8177.13,7925.01,7999.43,102.177178,1571270399999,820188.0289,4259,41.958932,336861.8404,0
2019-10-17,7999.85,8125.98,7936.86,8073.94,91.144532,1571356799999,731887.7124,4577,54.108723,434602.7792,0
2019-10-18,8077.47,8116.99,7826.97,7955.73,155.691239,1571443199999,1235501.0123,5408,89.811645,712098.0417,0
